Rule ID,Rule Code,DQ Dimension,Module,Entity,Rule Description,Severity,Example,Notes,Remediation Suggestion
SF_VAL_101,SF101,Validity,Employee Central,Time Profile,Time Profile must comply with validity requirements in Employee Central.,Medium,Example 101: Entity ID duplicated across records,Ensures valid reporting structure,Ensure 'Time Profile' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_102,SF102,Validity,Employment Details,Manager ID,Manager ID must comply with validity requirements in Employment Details.,Low,"Example 102: Format does not meet standard (e.g., missing @ in email)",Ensures valid reporting structure,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_VAL_103,SF103,Validity,Foundation Data,Time Profile,Time Profile must comply with validity requirements in Foundation Data.,High,Example 103: Field is missing for active employee,Required for identity management,Ensure 'Time Profile' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_104,SF104,Timeliness,Compensation,Phone Number,Phone Number must comply with timeliness requirements in Compensation.,Low,Example 104: Field is missing for active employee,Supports organizational planning,Update stale 'Phone Number' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_TIM_105,SF105,Timeliness,Time Management,Contract Dates,Contract Dates must comply with timeliness requirements in Time Management.,High,Example 105: Field is missing for active employee,Supports compliance and payroll systems,Update stale 'Contract Dates' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_UNI_106,SF106,Uniqueness,Position Management,Job Title,Job Title must comply with uniqueness requirements in Position Management.,Low,Example 106: Value does not match reference data,Improves system integration accuracy,Identify and resolve duplicate entries in 'Job Title' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_VAL_107,SF107,Validity,Job Information,Cost Center,Cost Center must comply with validity requirements in Job Information.,Low,Example 107: Field is missing for active employee,Ensures valid reporting structure,Ensure 'Cost Center' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
SF_TIM_108,SF108,Timeliness,Position Management,Job Title,Job Title must comply with timeliness requirements in Position Management.,High,Example 108: Field is missing for active employee,Supports organizational planning,Update stale 'Job Title' entries based on current employee lifecycle changes or job events. Trigger periodic reviews or alerts where automation is possible.
SF_CON_109,SF109,Consistency,Position Management,Phone Number,Phone Number must comply with consistency requirements in Position Management.,High,Example 109: Value does not match reference data,Improves system integration accuracy,"Cross-validate 'Phone Number' across modules (e.g., EC, Compensation, LMS) to ensure alignment. Normalize mismatched entries via data sync or transformation logic."
SF_UNI_110,SF110,Uniqueness,Time Management,Contract Dates,Contract Dates must comply with uniqueness requirements in Time Management.,Low,Example 110: Value does not match reference data,Ensures valid reporting structure,Identify and resolve duplicate entries in 'Contract Dates' using unique keys like PERNR or Email. Maintain a single source of truth for each record.
SF_COM_111,SF111,Completeness,Time Management,Time Profile,Time Profile must comply with completeness requirements in Time Management.,Medium,Example 111: Field is missing for active employee,Required for identity management,"Fill missing 'Time Profile' information using HR documentation, onboarding records, or verified legacy systems. Avoid null entries for core analytics."
SF_VAL_112,SF112,Validity,Time Management,Manager ID,Manager ID must comply with validity requirements in Time Management.,Low,Example 112: Field is missing for active employee,Required for identity management,Ensure 'Manager ID' values align with system-defined picklists or business logic. Replace outliers using SAP SuccessFactors config guides or rule-based mapping.
